arrondissement,year,actifs_occupes,big_house,cdd,chomeurs,college_grad,csp_employed,csp_plus,empaid,fam_mono,immigration,interim,min_diploma,non_college,pop2554,pop3044,pop4559,pop5579,pop6074,retired,youth
6,2010-12-31,18687.44579,4846.862544,1823.4730260000001,1814.0772799999997,20627.163006000006,2886.6267510000002,10118.11814,66.769773,1440.946495,7216.868570000001,59.276228999999994,4148.360055,4097.911918,16046.640642999999,7614.583621999999,7694.470590999999,11666.118708000002,7190.825997,1199.116254,6665.578517000001
6,2011-12-31,18872.41359322253,4967.53619319166,1907.4512589296987,1943.321863060069,20855.7163466051,2985.0670231495938,10109.732604958952,58.41411110427839,1440.2451711422912,7230.7490205187605,76.30995017455491,4093.38065335836,4097.149797701727,16287.260440778276,7663.401727141435,7672.057282961414,11657.070885579835,7327.291329918862,1191.5122537422687,6697.195515540953
6,2012-12-31,18486.423857846505,5005.564142403826,1881.4246373195895,1852.1503661518295,20993.57956212211,2858.008008068131,9957.163842275984,47.791599232376,1381.9424880847027,6986.800022471381,73.14813687762117,3791.9963616793616,4090.7093439527293,15927.715648241274,7431.354671601951,7494.085501047779,11448.892537593283,7245.682257354504,1170.1194544356072,6649.555736512721
6,2013-12-31,18369.356119310465,4978.201791761372,1772.7544382038047,1873.5895478139614,21186.06769038048,2759.854282993645,10017.695337825471,38.66433348820084,1352.5910792839802,7111.92377171665,71.18056653881798,3674.1565992900246,3860.9964786991595,16137.905279903232,7539.164111377495,7398.753414691764,11477.629189630252,7319.927237760502,1034.0186129883773,6772.786132326249
6,2014-12-31,17947.978542197532,4884.615224377093,1718.037906881806,1948.4238033189783,21163.281273842527,2596.8150015118263,9908.960597539379,36.605862317408295,1368.8544847498504,7072.491522365214,80.9362909485785,3442.521752109622,3697.872447498146,15977.63075394456,7358.44352878143,7352.529849962633,11402.931531731405,7292.350579578682,920.0937087773285,6740.342748134377
6,2015-12-31,17625.289921470983,4662.995889688521,1675.3318644677868,1961.1291434274663,21272.177000373184,2415.8999475735272,9899.928591442935,39.66798747281187,1350.0087463470286,7036.489617192394,90.15899151184648,3291.933330770966,3471.109194744789,15769.038736770945,7195.141474992331,7220.925025140709,11272.049096195964,7269.458915916917,749.4072427932745,6650.760670412693
6,2016-12-31,16819.451984675543,4456.191600928555,1476.3507727788467,1898.8706425122964,20875.519340507697,2313.370200619784,9409.907788870669,41.82598529076233,1305.0523754568217,6677.4753630202995,83.15474885018284,3087.3566971704577,3277.1437101899783,15022.606168537595,6687.0068938849945,6914.247711085196,10910.458721218285,7034.027838491784,630.846565987103,6538.523089788484
6,2017-12-31,16302.90591738543,4736.224486146282,1593.796304797765,1931.7970268709523,20725.036074172247,2399.4053724873825,9199.860657725922,28.045468556192297,1279.895845342739,6693.493904631585,76.48897775383577,2869.2030582408474,3064.4179220737715,14910.407820802819,6809.505809850729,6778.932211926422,10894.05891158648,7002.825339412675,768.003285614795,6570.030063800048
6,2018-12-31,15881.528340193243,4755.204897697654,1575.6200011172566,1974.9153266840317,20702.249657781966,2339.1635769585937,9091.125917436786,22.9643281099698,1272.9448320408171,6683.035661976159,75.15555147569745,2697.6438168727077,2874.0496790514567,14750.133294852789,6766.736826820617,6663.164093611172,10819.361253704697,6975.248681229768,713.6939492743122,6576.563974228134
6,2019-12-31,15558.839719475998,4734.71644457978,1555.7910672492765,2038.000354718525,20811.14538419455,2282.20451328428,9082.093911372942,18.179350878203856,1282.7134592248476,6704.753325160892,74.70680631362268,2563.879960918247,2694.044132372854,14541.541277658423,6689.8113038203555,6606.135238797603,10688.478818152496,6952.3570175482055,654.3805480907873,6603.173867884765
