,arrondissement,date,type,N,farleft,left,green,center,right,other,ville,winner,last_winner,year_weights,unemployment,samplesize_agg,farleft_agg,left_agg,green_agg,center_agg,right_agg,farright_agg
45,7,2012-06-10,legislative,8567,106,1793,173,254,5538,703,Paris,right,right,0.4490290614704856,8.4,1193,-1.5290008836950246,-0.13596366714241226,-1.981708248920527,-2.584479231256795,-0.08819342308216305,-0.8800245688086845
46,7,2014-03-23,municipale,9826,109,1663,300,0,4029,3725,Paris,right,right,0.5485368867271029,8.7,977,-1.8840554436518735,0.03765666148579505,-1.7272552074949048,-22.2439383888495,-0.005214582082804009,-1.4963371210752463
47,7,2014-05-25,european,9427,118,1008,515,1527,3726,2533,Paris,right,right,0.5485368867271029,8.8,3248,-1.5827882550901022,-0.7904110418566443,-1.4209282848105143,-1.3344191269666519,-0.5372290126730876,-0.46040373047644567
48,7,2015-12-06,regional,10032,159,1679,475,0,5880,1839,Paris,right,right,0.6062776116457453,8.7,1749,-1.9435699891302733,-0.47376649482350364,-1.8369089203280056,-22.2439383888495,-0.26895471180111286,-0.2419683523841174
49,7,2017-04-23,president,20587,1149,791,0,6506,10850,1291,Paris,right,right,0.7406327610409243,8.0,1555,-0.6673183652556716,-1.5655958235178558,-22.2439383888495,-0.43769375517613285,-0.6408167165680942,-0.49316283495631974
50,7,2017-06-11,legislative,14334,349,405,287,6252,3795,3246,Paris,center,right,0.7406327610409243,8.0,1299,-1.1449843722357924,-1.5282244889268495,-2.51004468238414,-0.19153864802341292,-0.5603779757129361,-0.7477761604771764
51,7,2019-05-25,european,18600,223,749,1967,8654,4043,2964,Paris,center,center,0.9047619047619048,7.2,2221,-1.4773483532977911,-1.976607759987969,-1.4906652084970866,-0.4825625032586274,-0.945211261964745,-0.4026757439577906
52,8,2007-04-22,president,5433,72,761,72,1013,3178,337,Paris,right,right,0.2722362669478566,7.8,1513,-2.63351296555521,-0.4324714392782514,-3.9502918780659027,-0.670962786309274,-0.2960176026127672,-0.9461532400623693
53,8,2007-06-10,legislative,3965,54,418,93,459,2713,228,Paris,right,right,0.2722362669478566,7.8,916,-1.613135945523584,-0.28853817369371426,-2.2951767368762024,-1.196553430863514,0.1162376443170684,-1.7636493519802587
54,8,2008-03-09,municipale,3709,0,693,96,243,1239,1438,Paris,right,right,0.3008927161002625,6.6,755,-2.3276546987829665,0.19057191236032223,-1.8491380552083743,-1.5134815663541654,-0.11655320044379769,-2.8248338718628325
55,8,2009-06-07,european,3726,73,271,626,314,2007,435,Paris,right,right,0.3325656335845007,7.9,2287,-1.040641480829017,-0.6288864289719569,-1.0135388837505506,-1.19207447463799,-0.29965487302050486,-1.8548714106803819
56,8,2010-03-14,regional,3730,83,497,479,152,1998,521,Paris,right,right,0.3675725423828692,8.2,907,-1.319981255799886,-0.2403008779059621,-0.9962625668515876,-2.0610176835632794,-0.2402655599832586,-1.398708792643046
57,8,2012-04-22,president,8456,347,1485,202,855,4928,639,Paris,right,right,0.4490290614704856,8.4,1400,-0.9889638060602763,-0.2863751573707789,-2.6770683489131937,-1.2659110865416285,-0.31738744341143543,-0.8412144998462749
58,8,2012-06-10,legislative,6083,75,1232,170,176,3448,982,Paris,right,right,0.4490290614704856,8.4,1193,-1.5290008836950246,-0.13596366714241226,-1.981708248920527,-2.584479231256795,-0.08819342308216305,-0.8800245688086845
59,8,2014-03-23,municipale,6924,98,1066,242,0,3228,2290,Paris,right,right,0.5485368867271029,8.7,977,-1.8840554436518735,0.03765666148579505,-1.7272552074949048,-22.2439383888495,-0.005214582082804009,-1.4963371210752463
60,8,2014-05-25,european,6440,84,663,338,1034,2562,1759,Paris,right,right,0.5485368867271029,8.8,3248,-1.5827882550901022,-0.7904110418566443,-1.4209282848105143,-1.3344191269666519,-0.5372290126730876,-0.46040373047644567
